sub_id,nan,TransPerTrial_conj_Run1,TransPerTrial_conj_Run2,TransPerTrial_conj_Run3,TransPerTrial_conj_Run4,TransPerTrial_summ_Run1,TransPerTrial_summ_Run2,TransPerTrial_summ_Run3,TransPerTrial_summ_Run4,NumFixPerTrial_conj_Run1,NumFixPerTrial_conj_Run2,NumFixPerTrial_conj_Run3,NumFixPerTrial_conj_Run4,NumFixPerTrial_summ_Run1,NumFixPerTrial_summ_Run2,NumFixPerTrial_summ_Run3,NumFixPerTrial_summ_Run4,AveFixDur_conj_Run1,AveFixDur_conj_Run2,AveFixDur_conj_Run3,AveFixDur_conj_Run4,AveFixDur_summ_Run1,AveFixDur_summ_Run2,AveFixDur_summ_Run3,AveFixDur_summ_Run4,Dur_conj_Att1_Run1,Dur_conj_Att1_Run2,Dur_conj_Att1_Run3,Dur_conj_Att1_Run4,Dur_conj_Att2_Run1,Dur_conj_Att2_Run2,Dur_conj_Att2_Run3,Dur_conj_Att2_Run4,Dur_conj_NoAtt_Run1,Dur_conj_NoAtt_Run2,Dur_conj_NoAtt_Run3,Dur_conj_NoAtt_Run4,Dur_conj_Symm_Run1,Dur_conj_Symm_Run2,Dur_conj_Symm_Run3,Dur_conj_Symm_Run4,Dur_summ_Att1_Run1,Dur_summ_Att1_Run2,Dur_summ_Att1_Run3,Dur_summ_Att1_Run4,Dur_summ_Att2_Run1,Dur_summ_Att2_Run2,Dur_summ_Att2_Run3,Dur_summ_Att2_Run4,Dur_summ_NoAtt_Run1,Dur_summ_NoAtt_Run2,Dur_summ_NoAtt_Run3,Dur_summ_NoAtt_Run4,Dur_summ_Symm_Run1,Dur_summ_Symm_Run2,Dur_summ_Symm_Run3,Dur_summ_Symm_Run4
402,0,1.1667,0.83333,1.0833,1,1.0833,1.75,1.25,1.4167,5.9167,5.75,5.8333,5.1667,5.9167,7.0833,6.3333,6.0833,378.62,380.52,385.92,404.79,382.29,332.16,342.84,376.95,669.67,1004.2,979,846.83,756.33,595.83,799.33,701.33,712.5,333,329.83,415,0.59511,0.52701,0.66606,0.68613,1028.2,879.67,919.67,967.83,515.67,999.33,699,871.17,576.17,389.17,454.83,221.17,0.55218,0.71621,0.67118,0.70535
405,0,2.9167,0,2.5,2.4167,1.6667,0,1.5833,1.5833,5.9167,6.25,5.4167,6.25,3.75,5,4.8333,4,398.34,353.29,440.04,339.27,650.74,447.38,445.11,462.48,908.33,0,950.67,679.5,1226.7,162,1240.2,1162.5,148,1921.8,43.667,181.17,0.72887,0,0.61534,0.64513,995.67,51.167,664.5,835.17,844,0,1189,823.67,73.333,2014,104.33,100.5,0.52688,0,0.49477,0.59891
406,0,2.5,0.83333,2.25,1.25,1.5833,1.5,1.25,1.0833,7.1667,9.5,8.6667,11,7.5,8.0833,10.667,10.25,268.17,210.98,227.76,172.33,259.8,238.15,173.23,204.49,874.67,587.17,801.5,501.83,749.5,222.33,649,515.5,259.17,881.83,437.17,748.33,0.62595,0.32629,0.53998,0.53392,602,435.17,291.83,410.83,735.17,883.17,760.5,879.5,563.5,542.5,592.33,497.83,0.69369,0.64953,0.51202,0.56059
407,0,0,0.7,1.1818,0.83333,0.1,1.6667,1.25,1.0909,11.333,3.25,4.6667,5.6667,6.3333,6,4.9167,4,112.52,471.93,326.07,355.47,87.364,353.42,462.73,451.5,33.167,537.4,604.36,641.5,203.83,656,727.82,908.83,954.67,370,244.18,330,0,0.3489,0.43765,0.32933,45,766.5,866.17,653.64,230.2,961.5,691.67,1000.7,453.6,270.83,131.83,131.45,0.19215,0.44206,0.3732,0.25616
408,0,1.3333,0.77778,0.27273,1.0833,0.72727,1,0.8,0.75,10.667,6.6667,10.167,7.5833,8.0833,6,10.667,6,157.72,167.51,116.38,278.03,171.92,257.53,149.6,389.59,314.5,441.11,118.36,472,582.17,333.11,195.45,665.67,811.67,690.22,975.09,444,0.59541,0.44848,0.44714,0.69421,806.91,992.8,525,746.67,269.09,430,312.8,540.17,442.91,265.4,1047.6,646,0.54655,0.34258,0.63088,0.52209
410,0,2.8333,2.75,2.5,2.0833,2.8333,3.0833,3.0833,2.9167,6.3333,15.417,7.25,6.75,7.6667,11.167,7.0833,7.1667,355.98,119.48,298.63,288.32,299.91,199.3,272.72,287.51,970.5,886,935.17,641.67,915.5,638.33,694.83,725.67,352,264.17,466.17,535.5,0.83682,0.76932,0.7821,0.61431,879,600.67,766,682.67,975.67,1046,825,963.5,419.5,326,311.67,375.33,0.78591,0.69207,0.8101,0.77665
411,0,2.5,2.6667,2.5833,0.25,1.5833,1.25,1.1667,1,7.5,7.8333,6.6667,7.5,6.0833,8.1667,8,6.9167,301.61,291.72,278.08,250.95,342.85,249.28,249.04,290.82,1203.8,1398.3,1220.2,136.33,901,609.67,562.83,167.67,111.67,97.833,43.667,1558.8,0.74275,0.55532,0.54689,0.86146,930.17,695.5,742.33,346.67,1144.2,1090.8,1016.2,609,0,205.67,156.17,1023.2,0.69028,0.73481,0.56704,0.72786
412,0,1.4167,1.6667,1.0833,2.5,1.5833,1.5,2.0833,2.25,6.1667,4.1667,6.5833,5.6667,5.5833,4.3333,5.9167,5.75,325.81,386.46,336.11,416.91,343.45,408.09,382.77,411.66,1374.5,1225.3,1172.8,973.83,500.33,581.78,523.5,1219,114.67,154.89,475.17,12.5,0.38816,0.53015,0.43171,0.69285,1059.8,1203.2,1289.3,1115,821.67,738,935.83,1109.8,0,29.2,35.167,25.167,0.7171,0.48059,0.76693,0.65957
413,0,1.9167,2.25,0.41667,0.083333,1.4167,1.75,0.16667,0,4.9167,4.3333,4.25,3.4167,4,4.5833,3.5,4.1667,397.01,433.97,515.65,416.39,526.34,428.04,572.39,515.81,716.33,603,734,129,812,918.83,473.83,31.333,352.67,161.67,789,1286.5,0.68136,0.53119,0.27853,0.13445,1109.5,1141,880.17,119.83,655.83,539.67,148,0,235.33,238.17,837.33,1905.2,0.67436,0.57485,0.098387,0
417,0,3.75,2.9167,2.1818,2.4167,2.0833,2,1.2727,1.0833,8.4167,7.25,4.9167,6.75,5.8333,4.9167,3,4.25,232.77,223.04,332.14,327.72,315.93,400.03,396.11,360.52,624.83,448,500.36,329.5,1163.5,989,998.18,956.33,130.33,199,96.909,635.33,0.65218,0.56523,0.52394,0.52499,754.33,805.17,531.82,323.67,863.33,960.67,693.09,700.17,180,48.667,12,346.83,0.67696,0.63066,0.54298,0.45357
418,0,3,2.9167,2.3333,2.4167,1.4167,1.6667,2,1.3333,7.6667,7.3333,7.8333,7.1667,7.9167,6.8333,8.75,7,253.07,246.26,245.76,257.76,244.53,240.26,207.31,190.58,833.33,742.83,950,694.17,962.33,728.17,652.67,795,112.67,286.83,202.83,287.33,0.73238,0.77925,0.63595,0.64755,565.5,500.33,683.5,598.33,876.5,621,582.5,564.5,461.5,476.67,434.5,156,0.76609,0.71979,0.73625,0.68142
419,0,3.8333,3.5,2.1667,2.5,2.75,2,1.6667,1.75,7.9167,6.6667,4.5833,5.4167,6.8333,6.75,4.75,6.4167,256.52,301.01,361,372.98,341.01,329.63,372.55,315.49,1110.5,1183,1064,1040.7,781.5,603.67,559.67,844.83,117.67,137.5,0,0,0.74978,0.53689,0.49387,0.63502,1006.7,939.17,941.5,1087.3,815.5,722.67,742,585,272.83,229.67,59.333,142,0.78611,0.68026,0.68986,0.62199
421,0,0.083333,3.9167,2.3333,3.0833,0.41667,2.5833,3.25,2.8333,6.8333,7.25,7,6.9167,6.3333,6.6667,6.8333,7,334.11,302.88,283.41,297.87,347.85,348.87,320.9,331.37,24.667,631.67,533.33,612.83,679.83,1397.5,1080.2,1140,1514.3,128.5,363.17,232.67,0.026185,0.58412,0.61338,0.65754,421.5,1196.2,860.67,1430.8,139.17,799.17,1178.5,780,1573.7,248.17,69.667,72.333,0.14389,0.61812,0.68791,0.69015
428,0,2.1667,2.5,2.5,2.25,2.0833,2.4167,2.1667,2.75,5.25,4.8333,5.6667,7.4167,4.9167,5.0833,5.5833,6.4167,368.41,447.12,376.33,311.54,445.17,419.92,371.7,354.12,975.42,950.42,1291.7,1086.6,935.08,727.75,764.92,739.25,74.833,181.25,27.75,299.33,0.67216,0.49433,0.65566,0.57813,899.42,1001.7,857.75,819.83,1048.1,987.92,1090.7,1222.5,0,0,60.5,0,0.55324,0.71041,0.66118,0.73823
429,0,1.4167,1.0833,1.3333,1.75,1.75,0.91667,1.25,1,4.8333,4.4167,4.6667,4.5,4.5,2.9167,3.25,2.9167,444.14,501.21,464.58,645.39,537.54,682.75,548.42,841.75,527.17,454.58,506.92,886.92,1168.1,1341.4,1269.8,1192.8,221.5,252,177.33,148.58,0.42452,0.46091,0.45708,0.60756,1066.4,511.08,808.25,814.92,1079.6,930.92,835.83,842.17,0,111.42,82.5,176,0.65037,0.44334,0.49357,0.365
430,0,2.3,1.9091,1.6,1.2222,1.75,2.0909,1.9091,1.2727,4.9167,5.0833,3.8333,3.25,5.8333,5.0833,4.5833,3.8333,337.06,314.12,416.32,524.13,356.99,356.25,405.02,508.7,1076.3,930.91,967.5,861.22,677,776.36,734.5,798.11,157.9,49.455,100.8,103.67,0.66273,0.54586,0.52954,0.39034,962.58,1067.2,777.73,670.18,933.83,633.36,1012.3,815.55,60.833,92.364,80.909,195.09,0.52815,0.52781,0.5637,0.48481
431,0,0.66667,0.5,1.25,1.1667,1.3333,0.58333,1.7273,1.5833,7.1667,6.8333,6,5.6667,8.4167,6.5,5.8333,5.6667,238.94,247.39,271.37,317.91,244.81,334.54,327.94,319.62,366.75,1102,1049.6,1188.9,1088.2,91.75,515.5,505.5,173.17,490.75,67.667,56,0.38528,0.1064,0.34723,0.36762,674.33,489.92,948.18,810.58,947.17,340.17,985.36,699.33,328.33,1043,86,126.92,0.49923,0.46084,0.58288,0.5693
432,0,0.36364,1.9167,0.5,1,0.91667,1.8333,1.2727,1.1667,5.6667,7.0833,6.5833,6.4167,4.9167,6.75,5.5833,5.5833,269.8,248.51,263.73,273.45,381.53,245.57,381.28,293.87,360.82,738.42,635.5,995.75,141.18,684.5,193.08,264.92,1103.9,253.67,882.5,384.08,0.59757,0.58669,0.30465,0.33329,901.17,861.42,1173.5,1018.2,385.75,472,502.45,456.92,476.67,140,230.91,138.17,0.47688,0.64177,0.37084,0.50695
433,0,3.0833,2.5,1.8333,2,1.8333,2.3333,2.1667,1.8333,8.4167,7.9167,8.8333,7.6667,8,8.25,7.9167,7.3333,201.76,231.27,230.3,263.88,256.97,249.67,267.95,265.21,687.75,517.17,408.83,726.33,626.67,881.83,567.42,617.42,361,397.58,1013.8,603,0.86074,0.75126,0.82321,0.63741,1057.4,1019,909.92,1046.5,644.58,821.25,831.83,614.83,335.75,188.67,311.83,247.42,0.67323,0.75664,0.72159,0.64809
