SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
401	3	1	Fa3_1121.jpg	90	conj	48	1.665128e+03	60	3.015611e+00	6.032797e+00	1.154331e+01	1.455671e+01
401	3	2	Fa2_2122.jpg	50	summ	8.175000e+01	1.772396e+03	60	2.250708e+01	2.552384e+01	3.151921e+01	3.452368e+01
401	3	3	Fa3_1231.jpg	70	conj	4.275000e+01	1.161456e+03	60	3.850729e+01	4.152403e+01	4.551335e+01	4.852417e+01
401	3	4	Fa2_2223.jpg	70	summ	4.575000e+01	1.381793e+03	60	5.350783e+01	5.652512e+01	6.151368e+01	6.452622e+01
401	3	5	Fa2_2323.jpg	90	summ	3.825000e+01	1.349541e+03	60	6.951062e+01	7.252789e+01	7.951331e+01	8.252944e+01
401	3	6	Fa2_2322.jpg	80	summ	7.425000e+01	1.386988e+03	60	8.851411e+01	9.153123e+01	9.901253e+01	1.020249e+02
401	3	7	Fa3_1221.jpg	40	conj	4.350000e+01	1.278005e+03	60	1.095177e+02	1.125349e+02	1.165138e+02	1.195249e+02
401	3	8	Fa3_1111.jpg	30	conj	48	1.145787e+03	60	1.255086e+02	1.285253e+02	1.350132e+02	1.380255e+02
401	3	9	Fa3_1121.jpg	90	conj	72	1.379036e+03	60	1.450089e+02	1.480256e+02	1.535136e+02	1.565256e+02
401	3	10	Fa3_1221.jpg	40	conj	7.350000e+01	1.333551e+03	60	1.635105e+02	1.665277e+02	1.710130e+02	1.740292e+02
401	3	11	Fa2_2221.jpg	40	summ	8.025000e+01	1.371806e+03	60	1.800156e+02	1.830305e+02	1.910135e+02	1.940262e+02
401	3	12	Fa2_2122.jpg	50	summ	78	1.513930e+03	60	1.990166e+02	2.020338e+02	2.070136e+02	2.100263e+02
401	3	13	Fa2_2121.jpg	30	summ	36	1.264370e+03	60	2.145098e+02	2.175265e+02	2.235125e+02	2.265263e+02
401	3	14	Fa2_2323.jpg	90	summ	84	1.582506e+03	60	2.340119e+02	2.370267e+02	2.450135e+02	2.480270e+02
401	3	15	Fa2_2221.jpg	40	summ	84	1.348771e+03	60	2.525102e+02	2.555270e+02	2.610129e+02	2.640315e+02
401	3	16	Fa3_1111.jpg	30	conj	45	1.199953e+03	60	2.685121e+02	2.715292e+02	2.755137e+02	2.785304e+02
401	3	17	Fa3_1311.jpg	80	conj	7.950000e+01	1.406829e+03	60	2.865152e+02	2.895323e+02	2.965132e+02	2.995274e+02
401	3	18	Fa3_1331.jpg	50	conj	4.350000e+01	1.632214e+03	60	3.070188e+02	3.100359e+02	3.175125e+02	3.205276e+02
401	3	19	Fa3_1311.jpg	80	conj	78	1.281977e+03	60	3.275112e+02	3.305280e+02	3.345134e+02	3.375278e+02
401	3	20	Fa2_2322.jpg	80	summ	7.725000e+01	1.332759e+03	60	3.455114e+02	3.485283e+02	3.565132e+02	3.595281e+02
401	3	21	Fa3_1231.jpg	70	conj	4.275000e+01	1.766103e+03	60	3.655121e+02	3.685294e+02	3.740148e+02	3.770308e+02
401	3	22	Fa2_2121.jpg	30	summ	4.650000e+01	1.787923e+03	60	3.820151e+02	3.850323e+02	3.930134e+02	3.960314e+02
401	3	23	Fa3_1331.jpg	50	conj	7.950000e+01	1.277254e+03	60	4.035188e+02	4.065360e+02	4.105127e+02	4.135290e+02
401	3	24	Fa2_2223.jpg	70	summ	4.275000e+01	1.285341e+03	60	4.180124e+02	4.210291e+02	4.270136e+02	4.300292e+02
