SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
402	4	1	Fa3_1321.jpg	80	summ	NaN	NaN	NaN	3.017119e+00	6.034308e+00	NaN	Nan
402	4	2	bid	NaN	NaN	7.875000e+01	2.525853e+03	60	NaN	Nan	1.301396e+01	1.602974e+01
402	4	3	Fa2_2122.jpg	90	conj	NaN	NaN	NaN	2.051334e+01	2.353011e+01	NaN	Nan
402	4	4	bid	NaN	NaN	93	2.650280e+03	60	NaN	Nan	3.151345e+01	3.453002e+01
402	4	5	Fa3_1211.jpg	40	summ	NaN	NaN	NaN	4.201355e+01	4.503035e+01	NaN	Nan
402	4	6	bid	NaN	NaN	4.125000e+01	1.852000e+03	60	NaN	Nan	5.301274e+01	5.603053e+01
402	4	7	Fa3_1111.jpg	30	summ	NaN	NaN	NaN	6.201391e+01	6.503067e+01	NaN	Nan
402	4	8	bid	NaN	NaN	3.450000e+01	-999	60	NaN	Nan	7.201351e+01	7.504724e+01
402	4	9	Fa3_1331.jpg	90	summ	NaN	NaN	NaN	8.001419e+01	8.303104e+01	NaN	Nan
402	4	10	bid	NaN	NaN	9.225000e+01	2.787009e+03	60	NaN	Nan	9.051239e+01	9.356596e+01
402	4	11	Fa2_2223.jpg	50	conj	NaN	NaN	NaN	1.015177e+02	1.045349e+02	NaN	Nan
402	4	12	bid	NaN	NaN	51	2.038369e+03	60	NaN	Nan	1.085141e+02	1.115311e+02
402	4	13	Fa2_2221.jpg	80	conj	NaN	NaN	NaN	1.185147e+02	1.215314e+02	NaN	Nan
402	4	14	bid	NaN	NaN	81	2.209635e+03	60	NaN	Nan	1.275136e+02	1.305313e+02
402	4	15	Fa2_2322.jpg	40	conj	NaN	NaN	NaN	1.365149e+02	1.395317e+02	NaN	Nan
402	4	16	bid	NaN	NaN	3.975000e+01	-999	60	NaN	Nan	1.470131e+02	1.500489e+02
402	4	17	Fa2_2121.jpg	30	conj	NaN	NaN	NaN	1.570152e+02	1.600319e+02	NaN	Nan
402	4	18	bid	NaN	NaN	33	2.850936e+03	60	NaN	Nan	1.645157e+02	1.676151e+02
402	4	19	Fa3_1211.jpg	40	summ	NaN	NaN	NaN	1.755154e+02	1.785321e+02	NaN	Nan
402	4	20	bid	NaN	NaN	3.975000e+01	2.404863e+03	60	NaN	Nan	1.865131e+02	1.895161e+02
402	4	21	Fa3_1121.jpg	50	summ	NaN	NaN	NaN	1.965175e+02	1.995347e+02	NaN	Nan
402	4	22	bid	NaN	NaN	5.175000e+01	2.421217e+03	60	NaN	Nan	2.045146e+02	2.075323e+02
402	4	23	Fa3_1331.jpg	90	summ	NaN	NaN	NaN	2.130159e+02	2.160327e+02	NaN	Nan
