label,ind
L._Frontal_Pole,1
L._Insular_Cortex,2
L._Superior_Frontal_Gyrus,3
L._Middle_Frontal_Gyrus,4
L._Inferior_Frontal_Gyrus_pars_triangularis,5
L._Inferior_Frontal_Gyrus_pars_opercularis,6
L._Precentral_Gyrus,7
L._Temporal_Pole,8
L._Superior_Temporal_Gyrus_anterior_division,9
L._Superior_Temporal_Gyrus_posterior_division,10
L._Middle_Temporal_Gyrus_anterior_division,11
L._Middle_Temporal_Gyrus_posterior_division,12
L._Middle_Temporal_Gyrus_temporooccipital_part,13
L._Inferior_Temporal_Gyrus_anterior_division,14
L._Inferior_Temporal_Gyrus_posterior_division,15
L._Inferior_Temporal_Gyrus_temporooccipital_part,16
L._Postcentral_Gyrus,17
L._Superior_Parietal_Lobule,18
L._Supramarginal_Gyrus_anterior_division,19
L._Supramarginal_Gyrus_posterior_division,20
L._Angular_Gyrus,21
L._Lateral_Occipital_Cortex_superior_division,22
L._Lateral_Occipital_Cortex_inferior_division,23
L._Intracalcarine_Cortex,24
L._Frontal_Medial_Cortex,25
L._Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),26
L._Subcallosal_Cortex,27
L._Paracingulate_Gyrus,28
L._Cingulate_Gyrus_anterior_division,29
L._Cingulate_Gyrus_posterior_division,30
L._Precuneous_Cortex,31
L._Cuneal_Cortex,32
L._Frontal_Orbital_Cortex,33
L._Parahippocampal_Gyrus_anterior_division,34
L._Parahippocampal_Gyrus_posterior_division,35
L._Lingual_Gyrus,36
L._Temporal_Fusiform_Cortex_anterior_division,37
L._Temporal_Fusiform_Cortex_posterior_division,38
L._Temporal_Occipital_Fusiform_Cortex,39
L._Occipital_Fusiform_Gyrus,40
L._Frontal_Operculum_Cortex,41
L._Central_Opercular_Cortex,42
L._Parietal_Operculum_Cortex,43
L._Planum_Polare,44
L._Heschls_Gyrus_(includes_H1_and_H2),45
L._Planum_Temporale,46
L._Supracalcarine_Cortex,47
L._Occipital_Pole,48
R._Frontal_Pole,51
R._Insular_Cortex,52
R._Superior_Frontal_Gyrus,53
R._Middle_Frontal_Gyrus,54
R._Inferior_Frontal_Gyrus_pars_triangularis,55
R._Inferior_Frontal_Gyrus_pars_opercularis,56
R._Precentral_Gyrus,57
R._Temporal_Pole,58
R._Superior_Temporal_Gyrus_anterior_division,59
R._Superior_Temporal_Gyrus_posterior_division,60
R._Middle_Temporal_Gyrus_anterior_division,61
R._Middle_Temporal_Gyrus_posterior_division,62
R._Middle_Temporal_Gyrus_temporooccipital_part,63
R._Inferior_Temporal_Gyrus_anterior_division,64
R._Inferior_Temporal_Gyrus_posterior_division,65
R._Inferior_Temporal_Gyrus_temporooccipital_part,66
R._Postcentral_Gyrus,67
R._Superior_Parietal_Lobule,68
R._Supramarginal_Gyrus_anterior_division,69
R._Supramarginal_Gyrus_posterior_division,70
R._Angular_Gyrus,71
R._Lateral_Occipital_Cortex_superior_division,72
R._Lateral_Occipital_Cortex_inferior_division,73
R._Intracalcarine_Cortex,74
R._Frontal_Medial_Cortex,75
R._Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),76
R._Subcallosal_Cortex,77
R._Paracingulate_Gyrus,78
R._Cingulate_Gyrus_anterior_division,79
R._Cingulate_Gyrus_posterior_division,80
R._Precuneous_Cortex,81
R._Cuneal_Cortex,82
R._Frontal_Orbital_Cortex,83
R._Parahippocampal_Gyrus_anterior_division,84
R._Parahippocampal_Gyrus_posterior_division,85
R._Lingual_Gyrus,86
R._Temporal_Fusiform_Cortex_anterior_division,87
R._Temporal_Fusiform_Cortex_posterior_division,88
R._Temporal_Occipital_Fusiform_Cortex,89
R._Occipital_Fusiform_Gyrus,90
R._Frontal_Operculum_Cortex,91
R._Central_Opercular_Cortex,92
R._Parietal_Operculum_Cortex,93
R._Planum_Polare,94
R._Heschls_Gyrus_(includes_H1_and_H2),95
R._Planum_Temporale,96
R._Supracalcarine_Cortex,97
R._Occipital_Pole,98
L._Cerebral_White_Matter,101
L._Cerebral_Cortex,102
L._Lateral_Ventricle,103
L._Thalamus,104
L._Caudate,105
L._Putamen,106
L._Pallidum,107
Brain_Stem,108
L._Hippocampus,109
L._Amygdala,110
L._Accumbens,111
R._Cerebral_White_Matter,112
R._Cerebral_Cortex,113
R._Lateral_Ventricle,114
R._Thalamus,115
R._Caudate,116
R._Putamen,117
R._Pallidum,118
R._Hippocampus,119
R._Amygdala,120
R._Accumbens,121
Cerebellum,200
