Contrast,Cluster,Region,Number_of_voxels_in_the_region,Cluster_size,X,Y,Z,Peak_Z_value,p
ConjStim-SummStim_GroupMean,1,R._Caudate,34,65,8,8,6,4.980,0.0168
,2,Cerebellum,77,77,40,-68,-46,4.900,0.00635
,3,R._Inferior_Frontal_Gyrus_pars_triangularis,44,176,56,28,22,4.580,7.69e-06
,,R._Middle_Frontal_Gyrus,35,,,,,,
,,R._Inferior_Frontal_Gyrus_pars_opercularis,13,,,,,,
,,R._Frontal_Pole,8,,,,,,
,4,L._Lateral_Occipital_Cortex_superior_division,118,184,-44,-60,46,4.110,4.77e-06
,,L._Angular_Gyrus,32,,,,,,
,5,R._Precuneous_Cortex,183,193,14,-68,28,4.340,2.8e-06
,6,R._Lateral_Occipital_Cortex_superior_division,262,307,42,-74,48,4.760,6.25e-09
,7,Cerebellum,290,354,-14,-82,-36,5.200,6.34e-10
,8,L._Superior_Frontal_Gyrus,189,374,-2,36,42,5.320,2.47e-10
,,L._Paracingulate_Gyrus,106,,,,,,
,,R._Superior_Frontal_Gyrus,29,,,,,,
,,R._Paracingulate_Gyrus,16,,,,,,
,9,Cerebellum,370,478,14,-72,-30,5.720,2.35e-12
,10,L._Frontal_Pole,358,1060,-38,22,-4,4.940,9.6e-22
,,L._Middle_Frontal_Gyrus,148,,,,,,
,,L._Frontal_Orbital_Cortex,116,,,,,,
,,L._Inferior_Frontal_Gyrus_pars_triangularis,115,,,,,,
,,L._Insular_Cortex,21,,,,,,
,,L._Inferior_Frontal_Gyrus_pars_opercularis,12,,,,,,
,11,L._Precuneous_Cortex,650,1097,2,-68,60,5.060,2.85e-22
,,R._Precuneous_Cortex,150,,,,,,
,,L._Cuneal_Cortex,45,,,,,,
,,R._Cuneal_Cortex,12,,,,,,
