Contrast,Cluster,Region,Number_of_voxels_in_the_region,Cluster_size,X,Y,Z,Peak_Z_value,p
Rate_mod_Rt_GroupMean,1,L._Intracalcarine_Cortex,28,78,-22,-60,2,4.330,0.00472
,,L._Lingual_Gyrus,9,,,,,,
,2,R._Intracalcarine_Cortex,59,103,20,-66,4,4.590,0.000687
,,R._Lingual_Gyrus,15,,,,,,
,3,L._Frontal_Pole,403,796,-42,38,32,5.350,2.69e-18
,,L._Middle_Frontal_Gyrus,166,,,,,,
,,L._Inferior_Frontal_Gyrus_pars_triangularis,6,,,,,,
,4,Cerebellum,5732,50912,-34,-28,54,8.490,0
,,L._Precentral_Gyrus,2813,,,,,,
,,L._Postcentral_Gyrus,2011,,,,,,
,,R._Precentral_Gyrus,1614,,,,,,
,,R._Lateral_Occipital_Cortex_superior_division,1519,,,,,,
,,R._Lateral_Occipital_Cortex_inferior_division,1516,,,,,,
,,L._Lateral_Occipital_Cortex_inferior_division,1464,,,,,,
,,R._Frontal_Pole,1360,,,,,,
,,L._Lateral_Occipital_Cortex_superior_division,1334,,,,,,
,,R._Superior_Frontal_Gyrus,1239,,,,,,
,,L._Superior_Frontal_Gyrus,1088,,,,,,
,,L._Superior_Parietal_Lobule,1046,,,,,,
,,L._Thalamus,812,,,,,,
,,R._Thalamus,789,,,,,,
,,R._Postcentral_Gyrus,780,,,,,,
,,R._Supramarginal_Gyrus_posterior_division,761,,,,,,
,,L._Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),742,,,,,,
,,R._Middle_Frontal_Gyrus,722,,,,,,
,,R._Supramarginal_Gyrus_anterior_division,688,,,,,,
,,L._Supramarginal_Gyrus_anterior_division,681,,,,,,
,,R._Superior_Parietal_Lobule,661,,,,,,
,,L._Cingulate_Gyrus_anterior_division,615,,,,,,
,,R._Cingulate_Gyrus_anterior_division,548,,,,,,
,,R._Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),542,,,,,,
,,L._Paracingulate_Gyrus,533,,,,,,
,,R._Paracingulate_Gyrus,525,,,,,,
,,L._Occipital_Pole,514,,,,,,
,,R._Inferior_Frontal_Gyrus_pars_opercularis,486,,,,,,
,,R._Insular_Cortex,484,,,,,,
,,R._Occipital_Pole,465,,,,,,
,,L._Insular_Cortex,414,,,,,,
,,L._Parietal_Operculum_Cortex,412,,,,,,
,,L._Central_Opercular_Cortex,411,,,,,,
,,R._Precuneous_Cortex,298,,,,,,
,,L._Middle_Frontal_Gyrus,296,,,,,,
,,L._Frontal_Operculum_Cortex,286,,,,,,
,,R._Frontal_Operculum_Cortex,285,,,,,,
,,L._Inferior_Frontal_Gyrus_pars_opercularis,281,,,,,,
,,R._Temporal_Occipital_Fusiform_Cortex,263,,,,,,
,,R._Inferior_Temporal_Gyrus_temporooccipital_part,254,,,,,,
,,R._Central_Opercular_Cortex,238,,,,,,
,,R._Cingulate_Gyrus_posterior_division,213,,,,,,
,,L._Supramarginal_Gyrus_posterior_division,211,,,,,,
,,R._Occipital_Fusiform_Gyrus,189,,,,,,
,,L._Precuneous_Cortex,183,,,,,,
,,L._Inferior_Temporal_Gyrus_temporooccipital_part,177,,,,,,
,,L._Temporal_Occipital_Fusiform_Cortex,172,,,,,,
,,L._Putamen,172,,,,,,
,,R._Caudate,165,,,,,,
,,L._Occipital_Fusiform_Gyrus,155,,,,,,
,,R._Frontal_Orbital_Cortex,145,,,,,,
,,L._Frontal_Orbital_Cortex,143,,,,,,
,,L._Cingulate_Gyrus_posterior_division,103,,,,,,
,,R._Parietal_Operculum_Cortex,96,,,,,,
,,L._Caudate,94,,,,,,
,,R._Lingual_Gyrus,71,,,,,,
,,R._Putamen,71,,,,,,
,,R._Inferior_Frontal_Gyrus_pars_triangularis,67,,,,,,
,,L._Lingual_Gyrus,58,,,,,,
,,L._Pallidum,50,,,,,,
,,R._Middle_Temporal_Gyrus_temporooccipital_part,46,,,,,,
,,R._Pallidum,42,,,,,,
,,R._Angular_Gyrus,41,,,,,,
,,R._Temporal_Pole,38,,,,,,
,,L._Temporal_Pole,26,,,,,,
,,L._Heschls_Gyrus_(includes_H1_and_H2),24,,,,,,
,,R._Hippocampus,20,,,,,,
,,R._Planum_Temporale,19,,,,,,
,,L._Planum_Temporale,15,,,,,,
,,L._Hippocampus,11,,,,,,
,,R._Parahippocampal_Gyrus_posterior_division,9,,,,,,
,,L._Planum_Polare,7,,,,,,
