subID,anat#dir,anat#dcm,task-fribBids#runs_sbref,task-fribBids#runs_bold,run1_sbref#dcm,run1_bold#dcm,run2_sbref#dcm,run2_bold#dcm,run3_sbref#dcm,run3_bold#dcm,run4_sbref#dcm,run4_bold#dcm,task-fLoc#runs_sbref,task-fLoc#runs_bold,run1_sbref#dcm,run1_bold#dcm,run2_sbref#dcm,run2_bold#dcm,run3_sbref#dcm,run3_bold#dcm,run4_sbref#dcm,run4_bold#dcm, fmap_dir-AP#folder, fmap_dir-AP#dcm, fmap_dir-PA#folder,fmap_dir-PA#dcm, comments ,
sub-0301,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0302,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4
sub-0305,2,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, - had 2T1 dirs: used the last one ,
sub-0303,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0304,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0306,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0308,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0307,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0309,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0310,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0311,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0401,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0402,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0403,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0404,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0405,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4
sub-0406,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0407,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0408,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0412,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0411,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0409,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0410,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0409,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0409,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0413,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0415,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0414,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0416,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0417,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0418,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0419,2,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, - had 2T1 dirs: used the last one ,
sub-0420,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4
sub-0421,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0422,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0423,0, ,2,2,1,365,1,198, , , , , ,0,0, , , , , , , , ,0,,,,
sub-0424,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4
sub-0424,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4
sub-0425,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0426,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0427,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0428,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0429,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0430,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0431,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0433,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0434,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0437,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0436,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0438,2,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, - had 2T1 dirs: used the last one ,
sub-0439,2,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, - had 2T1 dirs: used the last one ,
sub-0440,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0435,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0441,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0442,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0443,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good,
sub-0444,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good
sub-0445,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good
sub-0448,1,176,4,4,1,365,1,365,1,365,1,365,0,0, , , , , , , , ,1,3,1,3, - missing BOLD file fLoc task runs: has0instead of 4, - missing SBREF file fLoc task runs: has0instead of 4,
sub-0446,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good

sub-0447,1,176,4,4,1,365,1,365,1,365,1,365,4,4,1,165,1,165,1,165,1,165,1,3,1,3, All good
